rating,playback_used,ebird_code,channels,date,duration,filename,species,title,secondary_labels,bird_seen,sci_name,location,latitude,sampling_rate,type,elevation,bitrate_of_mp3,file_type,background,xc_id,url,country,author,primary_label,longitude,time,recordist,license
3.5,no,aldfly,1 (mono),2019-07-27,26,XC524851.mp3,Alder Flycatcher,XC524851 Alder Flycatcher (Empidonax alnorum),"['Turdus migratorius_American Robin', 'Vireo olivaceus_Red-eyed Vireo']",no,Empidonax alnorum,"Saint-Amable (near  Sainte-Julie), Lajemmerais Regional County Municipality, Quebec",45.6364,44100 (Hz),song,50 m,86044 (bps),mp3,American Robin (Turdus migratorius); Red-eyed Vireo (Vireo olivaceus),524851,https://www.xeno-canto.org/524851,Canada,Long Benjamin,Empidonax alnorum_Alder Flycatcher,-73.34,07:00,Long Benjamin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
4.0,no,aldfly,1 (mono),2019-07-26,19,XC524515.mp3,Alder Flycatcher,XC524515 Alder Flycatcher (Empidonax alnorum),[],yes,Empidonax alnorum,"Saint-Bruno-de-Montarville, La Vallée-du-Richelieu, Québec",45.5568,44100 (Hz),call,30 m,84611 (bps),mp3,,524515,https://www.xeno-canto.org/524515,Canada,Long Benjamin,Empidonax alnorum_Alder Flycatcher,-73.3631,06:55,Long Benjamin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
4.0,no,aldfly,1 (mono),2019-07-26,16,XC524514.mp3,Alder Flycatcher,XC524514 Alder Flycatcher (Empidonax alnorum),[],yes,Empidonax alnorum,"Saint-Bruno-de-Montarville, La Vallée-du-Richelieu, Québec",45.5568,44100 (Hz),call,30 m,84613 (bps),mp3,,524514,https://www.xeno-canto.org/524514,Canada,Long Benjamin,Empidonax alnorum_Alder Flycatcher,-73.3631,06:55,Long Benjamin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
4.0,no,aldfly,1 (mono),2019-07-26,16,XC524513.mp3,Alder Flycatcher,XC524513 Alder Flycatcher (Empidonax alnorum),[],yes,Empidonax alnorum,"Saint-Bruno-de-Montarville, La Vallée-du-Richelieu, Québec",45.5568,44100 (Hz),call,30 m,84022 (bps),mp3,,524513,https://www.xeno-canto.org/524513,Canada,Long Benjamin,Empidonax alnorum_Alder Flycatcher,-73.3631,06:55,Long Benjamin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
3.5,no,aldfly,2 (stereo),2019-05-27,39,XC477186.mp3,Alder Flycatcher,XC477186 Alder Flycatcher (Empidonax alnorum),"['Dumetella carolinensis_Gray Catbird', 'Geothlypis trichas_Common Yellowthroat']",no,Empidonax alnorum,"Sandy Hook, Monmouth Co., NJ",40.451,48000 (Hz),call,0 m,179579 (bps),mp3,Gray Catbird (Dumetella carolinensis); Common Yellowthroat (Geothlypis trichas),477186,https://www.xeno-canto.org/477186,United States,William Whitehead,Empidonax alnorum_Alder Flycatcher,-73.99600000000001,09:00,William Whitehead,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
3.5,no,aldfly,1 (mono),2017-06-06,135,XC466987.mp3,Alder Flycatcher,XC466987 Alder Flycatcher (Empidonax alnorum),"['Zonotrichia albicollis_White-throated Sparrow', 'Geothlypis trichas_Common Yellowthroat', 'Leiothlypis ruficapilla_Nashville Warbler', 'Cardellina canadensis_Canada Warbler', 'Setophaga pinus_Pine Warbler', 'Setophaga ruticilla_American Redstart', 'Regulus satrapa_Golden-crowned Kinglet', 'Catharus fuscescens_Veery', 'Melospiza georgiana_Swamp Sparrow', 'Catharus guttatus_Hermit Thrush']",yes,Empidonax alnorum,"Trout Lake Township (near  Eckerman), Chippewa County, Michigan",46.2597,44100 (Hz),"call, song",260 m,128000 (bps),mp3,White-throated Sparrow (Zonotrichia albicollis); Common Yellowthroat (Geothlypis trichas); Nashville Warbler (Leiothlypis ruficapilla); Canada Warbler (Cardellina canadensis); Pine Warbler (Setophaga pinus); American Redstart (Setophaga ruticilla); Golden-crowned Kinglet (Regulus satrapa); Veery (Catharus fuscescens); Swamp Sparrow (Melospiza georgiana); Hermit Thrush (Catharus guttatus),466987,https://www.xeno-canto.org/466987,United States,Dan Lane,Empidonax alnorum_Alder Flycatcher,-85.0207,09:30,Dan Lane,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
3.5,no,aldfly,2 (stereo),2018-06-20,65,XC433319.mp3,Alder Flycatcher,XC433319 Alder Flycatcher (Empidonax alnorum),"[""Melospiza lincolnii_Lincoln's Sparrow"", 'Catharus guttatus_Hermit Thrush', 'Zonotrichia leucophrys_White-crowned Sparrow', 'Junco hyemalis_Dark-eyed Junco']",no,Empidonax alnorum,"Yukon, Unorganized, Yukon, Yukon Territory",64.0081,24000 (Hz),song,550 m,160000 (bps),mp3,Lincoln's Sparrow (Melospiza lincolnii); Hermit Thrush (Catharus guttatus); White-crowned Sparrow (Zonotrichia leucophrys); Dark-eyed Junco (Junco hyemalis),433319,https://www.xeno-canto.org/433319,Canada,Logan McLeod,Empidonax alnorum_Alder Flycatcher,-138.3722,05:30,Logan McLeod,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
3.5,no,aldfly,2 (stereo),2018-06-25,27,XC433096.mp3,Alder Flycatcher,XC433096 Alder Flycatcher (Empidonax alnorum),['Geothlypis trichas_Common Yellowthroat'],yes,Empidonax alnorum,"Plum Island, Newbury, Essex County, Massachusetts",42.758,48000 (Hz),call,15 m,192000 (bps),mp3,Common Yellowthroat (Geothlypis trichas),433096,https://www.xeno-canto.org/433096,United States,Phil Brown,Empidonax alnorum_Alder Flycatcher,-70.801,10:00,Phil Brown,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
3.5,no,aldfly,2 (stereo),2018-05-23,24,XC428335.mp3,Alder Flycatcher,XC428335 Alder Flycatcher (Empidonax alnorum),"['Geothlypis trichas_Common Yellowthroat', 'Icterus galbula_Baltimore Oriole', 'Seiurus aurocapilla_Ovenbird', 'Geothlypis trichas_Common Yellowthroat', 'Zonotrichia albicollis_White-throated Sparrow', 'Spinus tristis_American Goldfinch', 'Mniotilta varia_Black-and-white Warbler']",yes,Empidonax alnorum,"Desert Pond Road, Mount Vernon, Kennebec County, Maine",44.4433,48000 (Hz),song,80 m,140990 (bps),mp3,Common Yellowthroat (Geothlypis trichas); Baltimore Oriole (Icterus galbula); Ovenbird (Seiurus aurocapilla); Common Yellowthroat (Geothlypis trichas); White-throated Sparrow (Zonotrichia albicollis); American Goldfinch (Spinus tristis); Black-and-white Warbler (Mniotilta varia),428335,https://www.xeno-canto.org/428335,United States,Lance A. M. Benner,Empidonax alnorum_Alder Flycatcher,-69.977,09:45,Lance A. M. Benner,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
3.5,no,aldfly,2 (stereo),2018-05-23,64,XC428334.mp3,Alder Flycatcher,XC428334 Alder Flycatcher (Empidonax alnorum),"['Parkesia noveboracensis_Northern Waterthrush', 'Agelaius phoeniceus_Red-winged Blackbird', 'Mniotilta varia_Black-and-white Warbler']",yes,Empidonax alnorum,"Mount Vernon, Kennebec County, Maine",44.4433,48000 (Hz),song,80 m,141299 (bps),mp3,Northern Waterthrush (Parkesia noveboracensis); Red-winged Blackbird (Agelaius phoeniceus); Black-and-white Warbler (Mniotilta varia),428334,https://www.xeno-canto.org/428334,United States,Lance A. M. Benner,Empidonax alnorum_Alder Flycatcher,-69.977,09:36,Lance A. M. Benner,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
2.5,no,aldfly,1 (mono),2018-06-21,28,XC483142.mp3,Alder Flycatcher,XC483142 Alder Flycatcher (Empidonax alnorum),"['Quiscalus quiscula_Common Grackle', 'Troglodytes aedon_House Wren', 'Vireo gilvus_Warbling Vireo', 'Xanthocephalus xanthocephalus_Yellow-headed Blackbird', 'Agelaius phoeniceus_Red-winged Blackbird']",yes,Empidonax alnorum,"Buffalo, Cass County, North Dakota",46.9168,48000 (Hz),song,320 m,192000 (bps),mp3,Common Grackle (Quiscalus quiscula); House Wren (Troglodytes aedon); Warbling Vireo (Vireo gilvus); Yellow-headed Blackbird (Xanthocephalus xanthocephalus); Red-winged Blackbird (Agelaius phoeniceus),483142,https://www.xeno-canto.org/483142,United States,Keith Corliss,Empidonax alnorum_Alder Flycatcher,-97.4357,10:00,Keith Corliss,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
3.0,no,aldfly,1 (mono),2019-05-26,36,XC477364.mp3,Alder Flycatcher,XC477364 Alder Flycatcher (Empidonax alnorum),[],yes,Empidonax alnorum,"New York (near  Ashville),Watts Flats Wildlife Management Area Chautauqua County, New York",42.0314,44100 (Hz),song,440 m,90285 (bps),mp3,,477364,https://www.xeno-canto.org/477364,United States,Jim Berry,Empidonax alnorum_Alder Flycatcher,-79.4385,06:30,Jim Berry,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
3.0,no,aldfly,1 (mono),2019-05-27,53,XC477348.mp3,Alder Flycatcher,XC477348 Alder Flycatcher (Empidonax alnorum),[],yes,Empidonax alnorum,"Hill Higher State Forest, Harmony Township (near  Panama), Chautauqua County, New York",42.0458,44100 (Hz),song,500 m,77379 (bps),mp3,,477348,https://www.xeno-canto.org/477348,United States,Jim Berry,Empidonax alnorum_Alder Flycatcher,-79.441,06:30,Jim Berry,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
3.0,no,aldfly,2 (stereo),2019-05-24,24,XC476536.mp3,Alder Flycatcher,XC476536 Alder Flycatcher (Empidonax alnorum),[],yes,Empidonax alnorum,"Sandy Hook, Monmouth Co., NJ",40.451,48000 (Hz),song,0 m,181040 (bps),mp3,,476536,https://www.xeno-canto.org/476536,United States,William Whitehead,Empidonax alnorum_Alder Flycatcher,-73.99600000000001,08:00,William Whitehead,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
2.5,no,aldfly,2 (stereo),2018-05-11,28,XC415380.mp3,Alder Flycatcher,XC415380 Alder Flycatcher (Empidonax alnorum),"['Dives dives_Melodious Blackbird', 'Zenaida asiatica_White-winged Dove', 'Catharus aurantiirostris_Orange-billed Nightingale-Thrush']",yes,Empidonax alnorum,"El Tizatillo, near Tegucigalpa",13.9641,44100 (Hz),call,1300 m,192000 (bps),mp3,Melodious Blackbird (Dives dives); White-winged Dove (Zenaida asiatica); Orange-billed Nightingale-Thrush (Catharus aurantiirostris),415380,https://www.xeno-canto.org/415380,Honduras,Alfonso Auerbach,Empidonax alnorum_Alder Flycatcher,-87.1881,08:30,Alfonso Auerbach,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
3.0,no,aldfly,1 (mono),2017-05-23,29,XC371632.mp3,Alder Flycatcher,XC371632 Alder Flycatcher (Empidonax alnorum),[],yes,Empidonax alnorum,"Elsen's Hill, DuPage County, Illinois",41.8605,48000 (Hz),song,240 m,320000 (bps),mp3,,371632,https://www.xeno-canto.org/371632,United States,Matt Wistrand,Empidonax alnorum_Alder Flycatcher,-88.1756,07:45,Matt Wistrand,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
2.5,no,aldfly,2 (stereo),2017-05-15,13,XC371063.mp3,Alder Flycatcher,XC371063 Alder Flycatcher (Empidonax alnorum),['Vireo olivaceus_Red-eyed Vireo'],yes,Empidonax alnorum,"Prairie Center (near  Olathe), Johnson County, Kansas",38.8817,48000 (Hz),song,300 m,128000 (bps),mp3,Red-eyed Vireo (Vireo olivaceus),371063,https://www.xeno-canto.org/371063,United States,Eric DeFonso,Empidonax alnorum_Alder Flycatcher,-94.8917,06:45,Eric DeFonso,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
3.0,no,aldfly,1 (mono),2015-07-14,7,XC356892.mp3,Alder Flycatcher,XC356892 Alder Flycatcher (Empidonax alnorum),[],yes,Empidonax alnorum,"New Hampshire (near  Meredith), Belknap County, New Hampshire",43.6046,44100 (Hz),call,160 m,320000 (bps),mp3,,356892,https://www.xeno-canto.org/356892,United States,Peter Paul,Empidonax alnorum_Alder Flycatcher,-71.5504,13:00,Peter Paul,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
2.5,no,aldfly,1 (mono),2016-09-16,106,XC336362.mp3,Alder Flycatcher,XC336362 Alder Flycatcher (Empidonax alnorum),"['Polioptila caerulea_Blue-gray Gnatcatcher', 'Cyanocitta cristata_Blue Jay']",yes,Empidonax alnorum,"Boy Scout Woods, High Island, Galveston, TX",29.5605,44100 (Hz),call,10 m,128000 (bps),mp3,Blue-gray Gnatcatcher (Polioptila caerulea); Blue Jay (Cyanocitta cristata),336362,https://www.xeno-canto.org/336362,United States,Michael Lester,Empidonax alnorum_Alder Flycatcher,-94.3896,07:00,Michael Lester,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
2.5,no,aldfly,2 (stereo),2016-08-01,21,XC330229.mp3,Alder Flycatcher,XC330229 Alder Flycatcher (Empidonax alnorum),"['Spinus tristis_American Goldfinch', 'Melospiza melodia_Song Sparrow', 'Turdus migratorius_American Robin']",no,Empidonax alnorum,"Peterborough, Peterborough County, Ontario",44.3211,44100 (Hz),song,220 m,128000 (bps),mp3,American Goldfinch (Spinus tristis); Song Sparrow (Melospiza melodia); American Robin (Turdus migratorius),330229,https://www.xeno-canto.org/330229,Canada,Iain,Empidonax alnorum_Alder Flycatcher,-78.3264,08:30,Iain,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
2.5,no,aldfly,2 (stereo),2016-06-03,38,XC321024.mp3,Alder Flycatcher,XC321024 Alder Flycatcher (Empidonax alnorum),['Troglodytes aedon_House Wren'],yes,Empidonax alnorum,"Dinosaur Provincial Park, Alberta",50.7621,48000 (Hz),"male, song",650 m,192000 (bps),mp3,House Wren (Troglodytes aedon),321024,https://www.xeno-canto.org/321024,Canada,Michael Harrison,Empidonax alnorum_Alder Flycatcher,-111.5173,11:08,Michael Harrison,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
3.0,yes,aldfly,2 (stereo),2016-03-21,18,XC313135.mp3,Alder Flycatcher,XC313135 Alder Flycatcher (Empidonax alnorum),[],yes,Empidonax alnorum,"Moyobamba, Moyobamba Province, San Martin",-6.0445,44100 (Hz),"call, song",850 m,128000 (bps),mp3,,313135,https://www.xeno-canto.org/313135,Peru,Roger Ahlman,Empidonax alnorum_Alder Flycatcher,-76.9829,08:00,Roger Ahlman,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
2.5,no,aldfly,2 (stereo),2015-08-27,186,XC276781.mp3,Alder Flycatcher,XC276781 Alder Flycatcher (Empidonax alnorum),"['Thryothorus ludovicianus_Carolina Wren', 'Mimus polyglottos_Northern Mockingbird', 'Cardinalis cardinalis_Northern Cardinal', 'Icteria virens_Yellow-breasted Chat', 'Icterus galbula_Baltimore Oriole', 'Quiscalus quiscula_Common Grackle', 'Thryothorus ludovicianus_Carolina Wren', 'Polioptila caerulea_Blue-gray Gnatcatcher', 'Cyanocitta cristata_Blue Jay', 'Pipilo erythrophthalmus_Eastern Towhee']",yes,Empidonax alnorum,"Red River National Wildlife Refuge- Headquarters Unit, Bossier Parish, Louisiana",32.446999999999996,44100 (Hz),"call, song",50 m,320000 (bps),mp3,Carolina Wren (Thryothorus ludovicianus); Northern Mockingbird (Mimus polyglottos); Northern Cardinal (Cardinalis cardinalis); Yellow-breasted Chat (Icteria virens); Baltimore Oriole (Icterus galbula); Common Grackle (Quiscalus quiscula); Carolina Wren (Thryothorus ludovicianus); Blue-gray Gnatcatcher (Polioptila caerulea); Blue Jay (Cyanocitta cristata); Eastern Towhee (Pipilo erythrophthalmus),276781,https://www.xeno-canto.org/276781,United States,Terry Davis,Empidonax alnorum_Alder Flycatcher,-93.6721,07:36,Terry Davis,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
2.5,yes,aldfly,2 (stereo),2015-06-25,16,XC253936.mp3,Alder Flycatcher,XC253936 Alder Flycatcher (Empidonax alnorum),['Passerina cyanea_Indigo Bunting'],yes,Empidonax alnorum,"Fork Mountain-Little Rock Creek (near  Bakersville), Mitchell County, North Carolina",36.0969,44100 (Hz),"call, song",1900 m,128000 (bps),mp3,Indigo Bunting (Passerina cyanea),253936,https://www.xeno-canto.org/253936,United States,Bates Estabrooks,Empidonax alnorum_Alder Flycatcher,-82.1378,10:00,Bates Estabrooks,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
2.5,no,aldfly,2 (stereo),2015-05-09,14,XC252894.mp3,Alder Flycatcher,XC252894 Alder Flycatcher (Empidonax alnorum),['Eumomota superciliosa_Turquoise-browed Motmot'],yes,Empidonax alnorum,"Dry forest on west side of Parque Nacional La Tigra, Francisco Morazán",14.1757,44100 (Hz),call,1000 m,192000 (bps),mp3,Turquoise-browed Motmot (Eumomota superciliosa),252894,https://www.xeno-canto.org/252894,Honduras,Oliver Komar,Empidonax alnorum_Alder Flycatcher,-87.1802,15:00,Oliver Komar,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
2.5,no,aldfly,2 (stereo),2015-06-12,9,XC252876.mp3,Alder Flycatcher,XC252876 Alder Flycatcher (Empidonax alnorum),['Contopus cooperi_Olive-sided Flycatcher'],no,Empidonax alnorum,"Algonquin Highlands, Haliburton County, Ontario",45.3881,44100 (Hz),song,400 m,127999 (bps),mp3,Olive-sided Flycatcher (Contopus cooperi),252876,https://www.xeno-canto.org/252876,Canada,Iain,Empidonax alnorum_Alder Flycatcher,-78.7314,08:00,Iain,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
2.5,no,aldfly,2 (stereo),2015-06-04,6,XC247989.mp3,Alder Flycatcher,XC247989 Alder Flycatcher (Empidonax alnorum),"['Leiothlypis ruficapilla_Nashville Warbler', 'Agelaius phoeniceus_Red-winged Blackbird']",yes,Empidonax alnorum,"Douro-Dummer (near  Harcourt), Peterborough County, Ontario",44.4419,44100 (Hz),call,240 m,128000 (bps),mp3,Nashville Warbler (Leiothlypis ruficapilla); Red-winged Blackbird (Agelaius phoeniceus),247989,https://www.xeno-canto.org/247989,Canada,Iain,Empidonax alnorum_Alder Flycatcher,-78.2061,08:00,Iain,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
3.0,no,aldfly,2 (stereo),2015-05-20,2,XC244589.mp3,Alder Flycatcher,XC244589 Alder Flycatcher (Empidonax alnorum),[],yes,Empidonax alnorum,Châteauguay,45.3596,44100 (Hz),song,30 m,127999 (bps),mp3,,244589,https://www.xeno-canto.org/244589,Canada,Maxime Aubert,Empidonax alnorum_Alder Flycatcher,-73.7473,10:00,Maxime Aubert,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
3.0,no,aldfly,2 (stereo),2015-05-21,18,XC244457.mp3,Alder Flycatcher,XC244457 Alder Flycatcher (Empidonax alnorum),[],yes,Empidonax alnorum,"Elkins Park, PA",40.0626,44100 (Hz),alarm call,60 m,128000 (bps),mp3,,244457,https://www.xeno-canto.org/244457,United States,Paul Driver,Empidonax alnorum_Alder Flycatcher,-75.1254,07:15,Paul Driver,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
3.0,no,aldfly,2 (stereo),2015-05-09,35,XC241644.mp3,Alder Flycatcher,XC241644 Alder Flycatcher (Empidonax alnorum),[],yes,Empidonax alnorum,"Bosque seco en Ruta 853, Francisco Morazán, HN",14.1763,48000 (Hz),call,1000 m,320000 (bps),mp3,,241644,https://www.xeno-canto.org/241644,Honduras,Carlos Funes,Empidonax alnorum_Alder Flycatcher,-87.1804,15:00,Carlos Funes,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
2.5,yes,aldfly,2 (stereo),2013-09-29,15,XC232634.mp3,Alder Flycatcher,XC232634 Alder Flycatcher (Empidonax alnorum),"['Cyanocitta cristata_Blue Jay', 'Cardinalis cardinalis_Northern Cardinal']",yes,Empidonax alnorum,"12 (near  Bossier City), Bossier Parish, Louisiana",32.409,44100 (Hz),call,50 m,320000 (bps),mp3,Blue Jay (Cyanocitta cristata); Northern Cardinal (Cardinalis cardinalis),232634,https://www.xeno-canto.org/232634,United States,Terry Davis,Empidonax alnorum_Alder Flycatcher,-93.6313,10:26,Terry Davis,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
2.5,no,aldfly,2 (stereo),2014-08-26,45,XC217120.mp3,Alder Flycatcher,XC217120 Alder Flycatcher (Empidonax alnorum),"['Thryothorus ludovicianus_Carolina Wren', 'Vireo griseus_White-eyed Vireo', 'Myiarchus crinitus_Great Crested Flycatcher']",yes,Empidonax alnorum,"12 (near  Bossier City), Bossier Parish, Louisiana",32.4373,44100 (Hz),", song, trills",50 m,320000 (bps),mp3,Carolina Wren (Thryothorus ludovicianus); White-eyed Vireo (Vireo griseus); Great Crested Flycatcher (Myiarchus crinitus),217120,https://www.xeno-canto.org/217120,United States,Terry Davis,Empidonax alnorum_Alder Flycatcher,-93.6721,07:36,Terry Davis,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
2.5,no,aldfly,2 (stereo),2014-08-26,49,XC217118.mp3,Alder Flycatcher,XC217118 Alder Flycatcher (Empidonax alnorum),"['Thryothorus ludovicianus_Carolina Wren', 'Cyanocitta cristata_Blue Jay', 'Vireo griseus_White-eyed Vireo', 'Melanerpes erythrocephalus_Red-headed Woodpecker']",yes,Empidonax alnorum,"12 (near  Bossier City), Bossier Parish, Louisiana",32.4373,44100 (Hz),"call, song",50 m,320000 (bps),mp3,Carolina Wren (Thryothorus ludovicianus); Blue Jay (Cyanocitta cristata); White-eyed Vireo (Vireo griseus); Red-headed Woodpecker (Melanerpes erythrocephalus),217118,https://www.xeno-canto.org/217118,United States,Terry Davis,Empidonax alnorum_Alder Flycatcher,-93.6721,07:33,Terry Davis,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
2.5,yes,aldfly,2 (stereo),2014-08-08,50,XC217117.mp3,Alder Flycatcher,XC217117 Alder Flycatcher (Empidonax alnorum),"['Cardinalis cardinalis_Northern Cardinal', 'Vireo griseus_White-eyed Vireo', 'Thryothorus ludovicianus_Carolina Wren']",,Empidonax alnorum,"Red River National Wildlife Refuge, Bayou Pierre unit, Yates tract. Levee bend area",32.116,44100 (Hz),", call, other calls, song",40 m,320000 (bps),mp3,Northern Cardinal (Cardinalis cardinalis); White-eyed Vireo (Vireo griseus); Carolina Wren (Thryothorus ludovicianus),217117,https://www.xeno-canto.org/217117,United States,Terry Davis,Empidonax alnorum_Alder Flycatcher,-93.4686,08:20,Terry Davis,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
